nombre|artista|duracion
I Don't Care (with Justin Bieber) - Loud Luxury Remix|Ed Sheeran|194754
Memories - Dillon Francis Remix|Maroon 5|162600
All the Time - Don Diablo Remix|Zara Larsson|176616
Call You Mine - Keanu Silva Remix|The Chainsmokers|169093
Someone You Loved - Future Humans Remix|Lewis Capaldi|189052
Beautiful People (feat. Khalid) - Jack Wins Remix|Ed Sheeran|163049
Never Really Over - R3HAB Remix|Katy Perry|187675
Post Malone (feat. RANI) - GATTÜSO Remix|Sam Feldt|207619
Tough Love - Tiësto Remix / Radio Edit|Avicii|193187
If I Can't Have You - Gryffin Remix|Shawn Mendes|253040
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix|Ed Sheeran|207894
Hate Me - R3HAB Remix|Ellie Goulding|203733
Body On My|Loud Luxury|192507
SOS - Laidback Luke Tribute Remix / Radio Edit|Avicii|164516
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix|Martin Garrix|255238
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix|Ed Sheeran|188230
All My Friends - Eden Prince Remix|AJ Mitchell|173548
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix|David Guetta|189375
Dancing With A Stranger (With Normani) - Cheat Codes Remix|Sam Smith|159404
Let It Be Me - Sondr Remix|Steve Aoki|185366
Heaven - David Guetta & MORTEN Remix|Avicii|215238
All Around The World (La La La) - Marnik Remix|R3HAB|170667
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix|David Guetta|210968
Slow Dance (feat. Ava Max) - Sam Feldt Remix|AJ Mitchell|193548
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix|The Chainsmokers|205093
Hold Me While You Wait - Steve Void Remix|Lewis Capaldi|172800
One Thing Right - Firebeatz Remix|Marshmello|192381
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix|Ellie Goulding|175000
So Am I - Toby Green Remix|Ava Max|166875
When You Leave - Breathe Carolina Remix|Nikki Vianna|155080
Mother - Fedde Le Grand Remix|Charlie Puth|178125
Signs - Eden Prince Remix|Starley|172000
Ruin My Life - Steve James Remix|Zara Larsson|177097
Torn - KREAM Remix|Ava Max|169935
Quite Miss Home - Steve Void Remix|James Arthur|220413
Love Me Less (feat. Quinn XCII) - Party Pupils Remix|MAX|185273
Happier - Matt Medved Remix|Marshmello|170164
Side Effects - Fedde Le Grand Remix|The Chainsmokers|172360
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]|ILLENIUM|247385
Paradise - Bazzi vs. Black Caviar Remix|Bazzi vs.|218015
White Mercedes - EDX's Miami Sunset Remix|Charli XCX|200444
Higher Love|Kygo|228267
Unlove You|Armin van Buuren|150160
bad guy (with Justin Bieber)|Billie Eilish|194840
Freaking Me Out - Keanu Silva Remix|Ava Max|177466
Heaven Can Wait - The Aston Shuffle Remix|Sia|218373
When It Comes To You - Benny Benassi & BB Team Remix|Sean Paul|144073
Gone - The Wild Remix|Charli XCX|193861
American Boy - Brooks Remix|Estelle|200625
Million Pieces - M-22 Remix|Bastille|166237
joy. (R3HAB Remix)|for KING & COUNTRY|171500
Crash Into Me - Settle Down Steavis Aoki Remix|Steve Aoki|266719
Old Town Road - Diplo Remix|Lil Nas X|204027
Lovers + Strangers - GATTÜSO Remix|Starley|203968
Promises (with Sam Smith) - David Guetta Remix|Calvin Harris|190417
Flames (with ZAYN) - R3HAB & Skytech VIP Remix|R3HAB|237686
What Am I - SONDR Remix|Why Don't We|180361
Cool Kids|Olympis|139048
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix|DJ Snake|279800
All Star - Breathe Carolina Remix|Smash Mouth|217043
