nombre|artista|duracion
Comedy|Gen Hoshino|230666
Ghost - Acoustic|Ben Woodward|149610
To Begin Again|Ingrid Michaelson;ZAYN|210826
Can't Help Falling In Love|Kina Grannis|201933
Hold On|Chord Overstreet|198853
Days I Will Remember|Tyrone Wells|214240
Say Something|A Great Big World;Christina Aguilera|229400
I'm Yours|Jason Mraz|242946
Lucky|Jason Mraz;Colbie Caillat|189613
Hunger|Ross Copperman|205594
Give Me Your Forever|Zack Tabudlo|244800
I Won't Give Up|Jason Mraz|240165
Solo|Dan Berk|198712
Bad Liar|Anna Hamilton|248448
Hold On - Remix|Chord Overstreet;Deepend|188133
Falling in Love at a Coffee Shop|Landon Pigg|244986
ily (i love you baby)|Andrew Foy;Renee Foy|129750
At My Worst|Andrew Foy;Renee Foy|169728
Lucky|Jason Mraz;Colbie Caillat|189613
Photograph|Boyce Avenue;Bea Miller|260186
I'm Yours|Jason Mraz|242946
Demons|Boyce Avenue;Jennel Garcia|174174
Say Something|A Great Big World;Christina Aguilera|229400
93 Million Miles|Jason Mraz|216386
Unlonely|Jason Mraz|231266
Bella Luna|Jason Mraz|302346
Winter Wonderland|Jason Mraz|131760
If It Kills Me|Jason Mraz|273653
Winter Wonderland|Jason Mraz|131760
Winter Wonderland|Jason Mraz|131760
Winter Wonderland|Jason Mraz|131760
Winter Wonderland|Jason Mraz|131760
All I Want For Christmas Is A Real Good Tan|Chord Overstreet|234186
Party of One|Brandi Carlile;Sam Smith|259558
Party of One|Brandi Carlile;Sam Smith|259558
Party of One|Brandi Carlile;Sam Smith|259558
Lonely This Christmas|KT Tunstall|257493
Throwing Good After Bad|Brandi Carlile|247791
This Time Tomorrow|Brandi Carlile|206267
Lonely This Christmas|KT Tunstall|257493
The Haves|Eddie Vedder|306794
When You're Wrong|Brandi Carlile|266960
You and Me on the Rock|Brandi Carlile;Lucius|230098
You and Me on the Rock|Brandi Carlile;Lucius|230098
"Speak Your Mind (From the Netflix Series ""We The People"")"|Brandi Carlile|193943
You and Me on the Rock|Brandi Carlile;Lucius|230098
You and Me on the Rock|Brandi Carlile;Lucius|230098
You and Me on the Rock|Brandi Carlile;Lucius|230098
You and Me on the Rock|Brandi Carlile;Lucius|230098
You and Me on the Rock|Brandi Carlile;Lucius|230098
Trampoline - Acoustic|Highland Peak|213098
透明だった世界|Motohiro Hata|232360
Pieces|Andrew Belle|241119
A Drop in the Ocean|Ron Pope|220239
So Far Away - Acoustic|Adam Christopher|171543
The Enemy|Andrew Belle|286865
Build It Better|Aron Wright|234473
Sleepwalking in the Rain|Chord Overstreet|216000
Gravity|Sara Bareilles|232760
What's Left of You|Chord Overstreet|178600
Pano|Zack Tabudlo|254400
Sky's Still Blue|Andrew Belle|244320
And I Love Her|Kurt Cobain|124933
We Can't Stop|Boyce Avenue;Bea Miller|222146
Always Be My Baby|Tim Halperin|181852
Alone with You|Canyon City|186584
Making All Things New|Aaron Espe|159600
She Used To Be Mine|Sara Bareilles|250266
In My Veins - Feat. Erin Mccarley|Andrew Belle|318908
I Don't Wanna Live Forever (Fifty Shades Darker)|Tyler Ward|222351
A Drop In the Ocean|Ron Pope|219480
Superman (It's Not Easy)|Five For Fighting|221693
When the End Comes|Andrew Belle|354400
You're Still The One|Bailey Jehl|177500
